ano;cod_municipio;rd;nm_municipio;gre;cod_escola;nm_escola;tp_escola;p_em;nota_lp;nota_mt;nota_saep;idepe;mat_3em;tdi_3em;TP_LOCALIZACAO;IN_INTERNET;IN_NOTURNO;IN_EJA;QT_MAT_BAS;QT_MAT_MED_INT;QT_MAT_BAS_FEM;QT_MAT_BAS_MASC;QT_MAT_BAS_BRANCA;TX_MAT_MED_INT
2013;2611408;Mata Sul;Primavera;Mata Sul;26102153;ESCOLA ESTADUAL ELISA MARQUES DE ASSIS;SEMI_INTEGRAL;0,82;4,23;4,66;4,44;3,63;;81,6;Urbana;1;1;1;573;116;387;186;138;0,202443280977312
2013;2611507;Mata Sul;Quipapá;Mata Sul;26102250;ESCOLA DE REFERENCIA EM ENSINO MEDIO DR FERNANDO PESSOA DE MELLO;SEMI_INTEGRAL;0,82;4,26;4,18;4,22;3,46;;38,5;Urbana;1;1;1;1077;436;609;468;108;0,404828226555246
2013;2611533;Sertão do Pajeú;Quixaba;Sertão do Alto Pajeú;26132735;ESC REF EM ENS MED SOLIDONIO PEREIRA DE CARVALHO;SEMI_INTEGRAL;0,92;4,48;5,08;4,78;4,38;;23,1;Urbana;1;1;1;360;196;228;132;24;0,544444444444444
2013;2611606;Metropolitana Recife;Recife;Recife Norte;26121751;ESC REF EM ENS MED GINASIO PERNAMBUCANO - CRUZ CABUGA;SEMI_INTEGRAL;0,88;4,96;4,6;4,78;4,2;;9,5;Urbana;1;0;0;694;694;389;305;85;1
2013;2611606;Metropolitana Recife;Recife;Recife Norte;26128721;ESC REF EM ENS MED PROF MARDONIO DE ANDRADE LIMA COELHO;SEMI_INTEGRAL;0,95;3,85;3,89;3,87;3,68;;19,7;Urbana;1;0;0;556;482;289;267;58;0,866906474820144
2013;2611606;Metropolitana Recife;Recife;Recife Sul;26123592;ESC REF EM ENS MED PROFESSOR TRAJANO DE MENDONCA;SEMI_INTEGRAL;0,8;5,77;5,6;5,68;4,57;;11,3;Urbana;1;1;1;854;531;507;347;161;0,621779859484778
2013;2611606;Metropolitana Recife;Recife;Recife Norte;26125978;ESCOLA DE REFERENCIA EM ENSINO MEDIO ALVARO LINS;SEMI_INTEGRAL;0,85;4,37;4,02;4,19;3,57;;65,3;Urbana;1;1;0;852;558;487;365;75;0,654929577464789
2013;2611606;Metropolitana Recife;Recife;Recife Sul;26122847;ESCOLA DE REFERENCIA EM ENSINO MEDIO AMAURY DE MEDEIROS;SEMI_INTEGRAL;0,92;4,87;4,6;4,73;4,35;;14,2;Urbana;1;1;1;893;542;495;398;223;0,606942889137738
2013;2611606;Metropolitana Recife;Recife;Recife Sul;26123703;ESCOLA DE REFERENCIA EM ENSINO MEDIO ANIBAL FALCAO;SEMI_INTEGRAL;0,95;4,54;4,35;4,45;4,22;;17,1;Urbana;1;1;0;443;341;257;186;60;0,769751693002257
2013;2611606;Metropolitana Recife;Recife;Recife Norte;26121859;ESCOLA DE REFERENCIA EM ENSINO MEDIO ANIBAL FERNANDES;SEMI_INTEGRAL;0,7;3,71;4,14;3,93;2,76;;23,3;Urbana;1;0;0;164;164;86;78;26;1
2013;2611606;Metropolitana Recife;Recife;Recife Sul;26124432;ESCOLA DE REFERENCIA EM ENSINO MEDIO APOLONIO SALES;SEMI_INTEGRAL;0,72;4,13;3,78;3,96;2,86;;17,1;Urbana;1;1;1;1344;465;723;621;191;0,345982142857143
2013;2611606;Metropolitana Recife;Recife;Recife Norte;26126044;ESCOLA DE REFERENCIA EM ENSINO MEDIO CLOTILDE DE OLIVEIRA;SEMI_INTEGRAL;0,78;4,64;4,72;4,68;3,65;;65,9;Urbana;1;1;0;718;464;444;274;147;0,646239554317549
2013;2611606;Metropolitana Recife;Recife;Recife Sul;26127300;ESCOLA DE REFERENCIA EM ENSINO MEDIO DIARIO DE PERNAMBUCO;SEMI_INTEGRAL;0,83;4,08;4,06;4,07;3,39;;40,5;Urbana;1;1;1;660;279;374;286;36;0,422727272727273
2013;2611606;Metropolitana Recife;Recife;Recife Sul;26124785;ESCOLA DE REFERENCIA EM ENSINO MEDIO DOM SEBASTIAO LEME;SEMI_INTEGRAL;0,82;4,2;4,13;4,16;3,43;;19,3;Urbana;1;1;1;958;624;534;424;126;0,651356993736952
2013;2611606;Metropolitana Recife;Recife;Recife Sul;26124602;ESCOLA DE REFERENCIA EM ENSINO MEDIO ENGENHEIRO LAURO DINIZ;SEMI_INTEGRAL;0,89;5,15;4,64;4,89;4,34;;5,1;Urbana;1;1;1;701;475;405;296;102;0,677603423680457
